,,,,,,,,,,,,,,,,,,,##,"Auto
Gen
FLAG",NET NAME,CATEGORY,POR SETTINGS,,,,,RUNTIME STATUS,,,,ACPI SPACE,,INT HANDLER,MODULAR CARD INFO,,,,COMMENTS
,,,FUNCTIONS,,,,,,(if not GPIO),(if not IN),PAD TYPES,,,,,,GIRQ (for GPIO),,##,,,,"SELECTED
FUN","INTERNAL
PAD",DIR/VAL,INT TYPE,"PIN
POWER",,,,,,,,SLOT,IDX,"PIN
NAME",,
PIN,PIN NAME,PWR RAIL,FUN1,FUN2,FUN3,FUN4,FUN5,FUN6,DEFAULT FUN,DDEFAULT STATE,TYPE1,TYPE2,TYPE3,TYPE4,TYPE5,TYPE6,GROUP,BIT,##,,,,,,,,,G3,S5/S4,S3,S0,GROUP,BIT,,,,,,
G5,GPIO73/TA2,VCC1,GPIO73,TA2,,,,,,,PIO,,,,,,GIRQ26,0,##,,MPM_EVENT#,PWRSEQ,GPIO,,OD_1,,PWR_OFF,000008h/00000Ch,,,,,,,J4,8,GPIO33_20,,"Wireless Manageability Processor interrupt, low active"
H5,GPIO74/AD23,VCC1,GPIO74,AD23,,,,,,,PIO,,,,,,GIRQ12,3,##,,EC_SLP_S3_S0A3#,PWRSEQ,GPIO,,O_0,,,,,,,,,,J3,17,,,EC to enable/disable system S0 power rails.
J6,GPIO75/32KHZ_OUT/I2C4_SCL0#/RXD/CR_SIN2,VCC1,GPIO75,32KHZ_OUT,I2C4_SCL0#,RXD,CR_SIN2,,,,PIO,,,,,,GIRQ12,5,##,,EC_UART0_RXD,DBG,UART,PU,,,,,,,,,,,J6,30,,,Default used as UART function RX
J5,GPIO76/EC_SCI#,VCIO,GPIO76,EC_SCI#,,,,,,,PIO,,,,,,GIRQ12,7,##,,EC_APU_SCI#,ACPI,GPIO,,OD_1,,,,,,,,,,J1,23,,,EC to notify APU a system control interrupt is triggered.
K5,GPIO80/PWM3,VCC1,GPIO80,PWM3,,,,,,,PIO,,,,,,GIRQ10,10,##,,SPI_APU_EC_ROM_GNT,SYS_BUS,GPIO,,,BOTH_EDGE,PWR_OFF,,,,,,,SPI_ROM_GNT_Handler,J1,1,,,SPI bus grant from APU to EC
J9,GPIO86/TXD/CR_SOUT2/FLPRG2#,VCC1,GPIO86,TXD,CR_SOUT2,,,,,,PIO,,,,,,GIRQ9,10,##,,EC_UART0_TXD,DBG,UART,PU,,,,,,,,,,,J6,28,,,Default used as UART function TX
K7,GPIO87/I2C1_SDA0,VCC1,GPIO87,I2C1_SDA0,,,,,,,PIO,,,,,,GIRQ11,26,##,,EC_I2C1_SDA_3V3_S5,I2C,I2C,,,,,,,,,,,,J6,12,,,EC I2C1 SDA
K8,GPIO90/I2C1_SCL0,VCC1,GPIO90,I2C1_SCL0,,,,,,,PIO,,,,,,GIRQ8,0,##,,EC_I2C1_SCL_3V3_S5 ,I2C,I2C,,,,,,,,,,,,J6,8,,,EC I2C1 SCL
K9,GPIO91/I2C2_SDA0,VCC1,GPIO91,I2C2_SDA0,,,,,,,PIO,,,,,,GIRQ10,12,##,,EC_I2C2_SDA_1V8_S5,I2C,I2C,,,,,,,,,,,,J6,18,,,EC I2C2 SDA
L8,GPIO92/I2C2_SCL0,VCC1,GPIO92,I2C2_SCL0,,,,,,,PIO,,,,,,GIRQ10,0,##,,EC_I2C2_SCL_1V8_S5,I2C,I2C,,,,,,,,,,,,J6,14,,,EC I2C2 SCL
E11,GPIO93/TA1/F_DIO2/FLM_DI2,VSPI,GPIO93,TA1,F_DIO2,FLM_DI2,,,,,PIO,,,,,,GIRQ10,8,##,,SPI_EC_ROM_D2,SYS_BUS,FLM,,,,,,,,,,,,J1,30,,,"Quad SPI Controller Data 2, Shared SPI port"
M11,GPIO94,VSPI,GPIO94,,,,,,,,PIO,,,,,,GIRQ9,13,##,,GPIO94,UNUSED,,,,,,,,,,,,,,,,,"EC to reset FCH, low active."
L10,GPIO97,VSPI,GPIO97,,,,,,,,PIO,,,,,,GIRQ11,21,##,,GPIO97,UNUSED,,,,,,,,,,,,,,,,,"To notify EC, all system power rails are ready."
K11,GPIOA5,VSPI,GPIOA5,,,,,,,,PIO,,,,,,GIRQ10,22,##,,EC_PWR_BTN#,PWRSEQ,GPIO,,OD_1,,,,,,,,,,J3,9,,,"To notify APU, power button is pressed."
F11,GPIOA6/PS2_CLK3/TA2/F_CS1#,VSPI,GPIOA6,PS2_CLK3,TA2,F_CS1#,,,,,PWR,,,,,,,,##,,GPIOA6,UNUSED,,,,,,,,,,,,,,,,,
J11,GPIOA7/PS2_DAT3/TB2/F_DIO3/FLM_DI3,VSPI,GPIOA7,PS2_DAT3,TB2,F_DIO3,FLM_DI3,,,,PIO,,,,,,GIRQ10,23,##,,SPI_EC_ROM_D3,SYS_BUS,FLM,,,,,,,,,,,,J1,16,,,"Quad SPI Controller Data 3, Shared SPI port"
L11,GPIOB0,VSPI,GPIOB0,,,,,,,,PIO,,,,,,GIRQ10,11,##,,GPIOB0,UNUSED,GPIO,,,,,,,,,,,,,,,,
K10,GPIOB2/I2C7_SDA0/DSR#,VCC1,GPIOB2,I2C7_SDA0,DSR#,,,,,,PIO,,,,,,GIRQ9,7,##,,SLP_S5#,PWRSEQ,GPIO,,INPUT,BOTH_EDGE,,,,,,,,SLP_S5_IN_Handler,J3,15,,,EC to enable/disable system S3 power rails.
J10,GPIOB3/I2C7_SCL0/DCD#,VCC1,GPIOB3,I2C7_SCL0,DCD#,,,,,,PIO,,,,,,GIRQ12,6,##,,APU_EC_ALERT#,THERMAL,GPIO,,INPUT,BOTH_EDGE,,,,,,GIO0,6,APU_ALERT_Handler,J3,2,,,"To nofity EC, APU SB-TSI need service from EC"
B12,GPIOB4/I2C0_SDA0,VCC1,GPIOB4,I2C0_SDA0,,,,,,,PIO,,,,,,GIRQ26,5,##,,EC_I2C0_SDA_3V3_S0,I2C,I2C,,,,,,,,,,,,J6,6,,,EC I2C0 SDA
C12,GPIOB5/I2C0_SCL0,VCC1,GPIOB5,I2C_SCL0,,,,,,,PIO,,,,,,GIRQ11,8,##,,EC_I2C0_SCL_3V3_S0,I2C,I2C,,,,,,,,,,,,J6,2,,,EC I2C0 SCL
