,,,,,,,,,,,,,,,,,,,##,"Auto
Gen
FLAG",NET NAME,CATEGORY,POR SETTINGS,,,,,RUNTIME STATUS,,,,ACPI SPACE,,INT HANDLER,MODULAR CARD INFO,,,,COMMENTS
,,,FUNCTIONS,,,,,,(if not GPIO),(if not IN),PAD TYPES,,,,,,GIRQ (for GPIO),,##,,,,"SELECTED
FUN","INTERNAL
PAD",DIR/VAL,INT TYPE,"PIN
POWER",,,,,,,,SLOT,IDX,"PIN
NAME",,
PIN,PIN NAME,PWR RAIL,FUN1,FUN2,FUN3,FUN4,FUN5,FUN6,DEFAULT FUN,DDEFAULT STATE,TYPE1,TYPE2,TYPE3,TYPE4,TYPE5,TYPE6,GROUP,BIT,##,,,,,,,,,G3,S5/S4,S3,S0,GROUP,BIT,,,,,,
B4,KSI4/GPIO25/AD24/TRACECLK/GP_SCLK,VCC1,KSI4,GPIO25,AD24,TRACECLK,GP_SCLK,,KSI4,,PIO,,,,,,GIRQ11,0,##,,SMSC_KSI_4,Keyboard,KSI,PU,,FALLING,,,,,,,,,J3,10,,,Keyboard Scan Matrix Input
C3,KSI5/GPIO24/AD12/GP_MISO,VCC1,KSI5,GPIO24,AD12,GP_MISO,,,KSI5,,PIO,,,,,,GIRQ12,17,##,,SMSC_KSI_5,Keyboard,KSI,PU,,FALLING,,,,,,,,,J3,12,,,Keyboard Scan Matrix Input
C4,KSI6/GPIO23/AD21/S_SBUB,VCC1,KSI6,GPIO23,AD21,S_SBUB,,,KSI6,,PIO,,,,,,GIRQ11,20,##,,SMSC_KSI_6,Keyboard,KSI,PU,,FALLING,,,,,,,,,J3,14,,,Keyboard Scan Matrix Input
C5,KSI7/GPIO22/AD20/S_SBUA,VCC1,KSI7,GPIO22,AD20,S_SBUA,,,KSI7,,PIO,,,,,,GIRQ11,19,##,,SMSC_KSI_7,Keyboard,KSI,PU,,FALLING,,,,,,,,,J3,16,,,Keyboard Scan Matrix output
B5,KSO00/GPIO21/JTAG_TCK0_SWCLK0,VCC1,KSO00,GPIO21,JTAG_TCK0_SWCLK0,,,,KSO00,,PWR,,,,,,,,##,,SMSC_KSO_0,Keyboard,KSO,PU,OD_1,,,,,,,,,,J3,18,,,Keyboard Scan Matrix output
B6,KSO01/GPIO20/JTAG_TMS0_SWIO0,VCC1,KSO01,GPIO20,JTAG_TMS0_SWIO0,,,,KSO01,O2ma-Low,PIO,,,,,,GIRQ9,2,##,,SMSC_KSO_1,Keyboard,KSO,PU,OD_1,,,,,,,,,,J3,20,,,Keyboard Scan Matrix output
B7,KSO02/GPIO17/JTAG_TDI0,VCC1,KSO02,GPIO17,JTAG_TDI0,,,,KSO02,O2ma-Low,PIO,,,,,,GIRQ8,26,##,,SMSC_KSO_2,Keyboard,KSO,PU,OD_1,,,,,,,,,,J3,22,,,Keyboard Scan Matrix output
B8,KSO03/GPIO16/JTAG_TDO0_SWO0,VCC1,KSO03,GPIO16,JTAG_TDO0_SWO0,,,,KSO03,,PIO,,,,,,GIRQ8,1,##,,SMSC_KSO_3,Keyboard,KSO,PU,OD_1,,,,,,,,,,J3,24,,,Keyboard Scan Matrix output
C7,KSO04/GPIO15/XNOR,VCC1,KSO04,GPIO15,XNOR,,,,KSO04,O2ma-High,O2ma,,,,,,,,##,,SMSC_KSO_4,Keyboard,KSO,PU,OD_1,,,,,,,,,,J3,26,,,Keyboard Scan Matrix output
C6,KSO05/GPIO14,VCC1,KSO05,GPIO14,,,,,KSO05,,PIO,,,,,,GIRQ8,17,##,,SMSC_KSO_5,Keyboard,KSO,PU,OD_1,,,,,,,,,,J3,28,,,Keyboard Scan Matrix output
C8,KSO06/GPIO13,VCC1,KSO06,GPIO13,,,,,KSO06,,PIO,,,,,,GIRQ11,4,##,,SMSC_KSO_6,Keyboard,KSO,PU,OD_1,,,,,,,,,,J3,1,,,Keyboard Scan Matrix output
B9,KSO07/GPIO12,VCC1,KSO07,GPIO12,,,,,KSO07,,PIO,,,,,,GIRQ26,1,##,,SMSC_KSO_7,Keyboard,KSO,PU,OD_1,,,,,,,,,,J3,3,,,Keyboard Scan Matrix output
C9,KSO08/GPIO11/CR_SOUT1,VCC1,KSO08,GPIO11,CR_SOUT1,,,,KSO08,,PIO,,,,,,GIRQ8,7,##,,SMSC_KSO_8,Keyboard,KSO,PU,OD_1,,,,,,,,,,J3,5,,,Keyboard Scan Matrix output
C10,KSO09/GPIO10/CR_SIN1,VCC1,KSO09,GPIO10,CR_SIN1,,,,KSO09,,PIO,,,,,,GIRQ26,3,##,,SMSC_KSO_9,Keyboard,KSO,PU,OD_1,,,,,,,,,,J3,7,,,Keyboard Scan Matrix output
B11,KSO10/P80_CLK/GPIO07,VCC1,KSO10,P80_CLK,GPIO07,,,,KSO10,,PIO,,,,,,GIRQ26,6,##,,SMSC_KSO_10,Keyboard,KSO,PU,OD_1,,,,,,,,,,J3,9,,,Keyboard Scan Matrix output
B10,KSO11/P80_DAT/GPIO06,VCC1,KSO11,P80_DAT,GPIO06,,,,KSO11,,PIO,,,,,,GIRQ26,12,##,,SMSC_KSO_11,Keyboard,KSO,PU,OD_1,,,,,,,,,,J3,11,,,Keyboard Scan Matrix output
C11,KSO12/GPIO05,VCC1,KSO12,GPIO05,,,,,KSO12,,PIO,,,,,,GIRQ8,13,##,,SMSC_KSO_12,Keyboard,KSO,PU,OD_1,,,,,,,,,,J3,13,,,Keyboard Scan Matrix output
D11,KSO13/GPIO04,VCC1,KSO13,GPIO04,,,,,KSO13,,PIO,,,,,,GIRQ11,18,##,,SMSC_KSO_13,Keyboard,KSO,PU,OD_1,,,,,,,,,,J3,15,,,Keyboard Scan Matrix output
D6,KSO14/GPIO82,VCC1,KSO14,GPIO82,,,,,KSO14,,I,,,,,,,,##,,SMSC_KSO_14,Keyboard,KSO,PU,OD_1,,,,,,,,,,J3,17,,,Keyboard Scan Matrix output
D7,KSO15/GPIO83,VCC1,KSO15,GPIO83,,,,,KSO15,,PIO,,,,,,GIRQ9,21,##,,SMSC_KSO_15,Keyboard,KSO,PU,OD_1,,,,,,,,,,J3,19,,,Keyboard Scan Matrix output
D9,KSO16/GPIO03,VCC1,KSO16,GPIO03,,,,,KSO16,,PIO,,,,,,GIRQ9,23,##,,EC_SENSOR_1V8_PWREN,GPIO,GPIO,,O_0,,,,,,,GIO3,1,,,,,,Sensor 1.8V enable
D8,KSO17/GPIOB1/CR_SIN4,VCC1,KSO17,GPIOB1,CR_SIN4,,,,KSO17,,PIO,,,,,,GIRQ9,22,##,,EC_SSD0_PWREN,GPIO,GPIO,,O_0,,,,,,,GIO1,1,,J3,20,GPIO33_17,,"EC to enable M.2 SSD0 power, high active"
H1,LAD0/eSPI_IO0/GPIO46/SHI_SDI,VHIF,LAD0,eSPI_IO0,GPIO46,,,,LAD0,,PIO,,,,,,GIRQ9,12,##,,ESPI_EC_D0,SYS_BUS,eSPI,PU,,,PWR_OFF,000008h/00000Ch,000008h/00000Ch,000008h/00000Ch,,,,,J1,6,,,"eSPI Data Bus, bit 0. Input (MOSI) in x1 Bus Mode. Else, it holds the LS data bit. "
J1,LAD1/eSPI_IO1/GPIO47/SHI_SDO,VHIF,LAD1,eSPI_IO1,GPIO47,,,,LAD1,,PIO,,,,,,GIRQ9,11,##,,ESPI_EC_D1,SYS_BUS,eSPI,PU,,,PWR_OFF,000008h/00000Ch,000008h/00000Ch,000008h/00000Ch,,,,,J1,8,,,"eSPI Data Bus, bit 1. Output (MISO) in x1 Bus Mode. Also, by default, presents ALERT# state between frames. "
K1,LAD2/eSPI_IO2/GPIO51,VHIF,LAD2,eSPI_IO2,GPIO51,,,,LAD2,,PIO,,,,,,GIRQ10,27,##,,ESPI_EC_D2,SYS_BUS,eSPI,PU,,,PWR_OFF,000008h/00000Ch,000008h/00000Ch,000008h/00000Ch,,,,,J1,12,,,"eSPI Data Bus, bit 2. Used only in x4 mode"
L1,LAD3/eSPI_IO3/GPIO52,VHIF,LAD3,eSPI_IO3,GPIO52,,,,LAD3,,PIO,,,,,,GIRQ10,26,##,,ESPI_EC_D3,SYS_BUS,eSPI,PU,,,PWR_OFF,000008h/00000Ch,000008h/00000Ch,000008h/00000Ch,,,,,J1,14,,,"eSPI Data Bus, bit 3. Used only in x4 mode, as MS bit"
L2,LFRAME#/eSPI_CS#/GPIO53/SHI_CS#,VHIF,LFRAME#,eSPI_CS#,GPIO53,SHI_CS#,,,LFRAME#,,PIO,,,,,,GIRQ10,19,##,,ESPI_EC_CS#,SYS_BUS,eSPI,PU,,,PWR_OFF,000008h/00000Ch,000008h/00000Ch,000008h/00000Ch,,,,,J1,7,,,"eSPI Chip Select, Low-Active"
K3,LRESET#/eSPI_RST#/GPIO54,VHIF,LRESET#,eSPI_RST#,GPIO54,,,,LRESET#,,PIO,,,,,,GIRQ12,23,##,,ESPI_EC_RESET#,SYS_BUS,eSPI,,,,PWR_OFF,,,,,,,,,,,,
M1,PCI_CLK/eSPI_CLK/GPIO55/SHI_SCLK,VHIF,PCI_CLK,eSPI_CLK,GPIO55,SHI_SCLK,,,PCI_CLK,,PIO,,,,,,GIRQ10,25,##,,ESPI_EC_CLK,SYS_BUS,eSPI,,,,PWR_OFF,000008h/00000Ch,000008h/00000Ch,000008h/00000Ch,,,,,J1,2,,,eSPI Clock 
M7,PECI_DATA/GPIO81,VPECI,PECI_DATA,GPIO81,,,,,PECI_DATA,,PIO,,,,,,GIRQ9,24,##,,EC_APU_PCC#,GPIO,GPIO,,O_1,,,,,,,GIO1,4,,,,,,"Reserved. for APU PCC function, low active"
H6,PSL_GPO/GPIOD7,VCC1,PSL_GPO,GPIOD7,,,,,PSL_GPO,,PIO,,,,,,GIRQ12,2,##,,GPIOD7,UNUSED,GPIO,,,,,,,,,,,,,,,,
G7,PSL_IN1#/GPIOD2,VCIO,PSL_IN1#,GPIOD2,,,,,PSL_IN1#,,PIO,,,,,,GIRQ12,4,##,,CHG_ACOK,BAT_CHG,GPIO,,,BOTH_EDGE,,,,,,GIO4,0,CHG_ACOK_Handler,J3,8,,,"To notify EC, AC is present"
E7,PSL_IN2#/GPIO00/EXT_PURST#,VCIO,PSL_IN2#,GPIO00,EXT_PURST#,,,,PSL_IN2#,,PIO,,,,,,GIRQ9,19,##,,HW_PWR_BTN#,PWRSEQ,GPIO,,INPUT,BOTH_EDGE,,,,,,,,PWR_BTN_HW_Handler,J3,11,,,"To notify EC, power button is pressed, low active"
J8,PSL_OUT,VCC1,PSL_OUT,GPIO85,,,,,PSL_OUT,,PIO,,,,,,GIRQ9,16,##,,EC_PSL_OUT,PWRSEQ,,,,,,,,,,,,,J3,10,,,To enable +3V3_PWM (also +3V3_EC)
M4,PWRGD/GPIO72,VCC1,PWRGD,GPIO72,,,,,PWRGD,,PIO,,,,,,GIRQ10,14,##,,BAT_PRSNT#,BAT_CHG,GPIO,,,BOTH_EDGE,,,,,,GIO4,3,BAT_IN_Handler,J4,15,GPIO33_13,,"Notify EC that battery is present, low active"
L3,SER_IRQ/eSPI_ALERT#/GPIO57,VHIF,SER_IRQ,eSPI_ALERT#,GPIO57,,,,SER_IRQ,,PIO,,,,,,GIRQ12,20,##,,ESPI_EC_ALERT#,SYS_BUS,eSPI,PU,,,PWR_OFF,000008h/00000Ch,000008h/00000Ch,,,,,,J1,5,,,"eSPI Alert signal, Low-Active. Exercised only if ALERT# is configured to be pre-sented separately from the IO1 pin"
M12,SPIP_MISO/GPIO95,VSPI,SPIP_MISO,GPIO95,,,,,SPIP_MISO,,PIO,,,,,,GIRQ11,22,##,,EC_WLAN_I2C_ALERT#_1V8,GPIO,GPIO,,INPUT,BOTH_EDGE,,,,,,,,WLAN_I2C_ALERT_Handler,,,,,"Reserved. WLAN I2C Alert#, low active. "
K12,SPIP_MOS/GPIOA3,VSPI,SPIP_MOS,GPIOA3,,,,,SPIP_MOS,,PIO,,,,,,GIRQ10,21,##,,SFH_EC_INT#_R,GPIO,GPIO,,INPUT,BOTH_EDGE,,,,,,GIO2,7,SFH_EC_INT_Handler,,,,,"SFH INT# from APU (IPIO0) to EC, low active. "
L12,SPIP_SCLK/GPIOA1,VSPI,SPIP_SCLK,GPIOA1,,,,,SPIP_SCLK,,PIO,,,,,,GIRQ10,17,##,,ALS_INT#,GPIO,GPIO,,INPUT,BOTH_EDGE,,,,,,,,ALS_INT_Handler,,,,,"ALS INT# to EC, low active."
L4,VBAT,,VBAT,,,,,,VBAT,,PIO,,,,,,GIRQ12,19,##,,,chip,,,,,,,,,,,,,,,,,
A7,VCC1,,VCC1,,,,,,VCC1,,PIO,,,,,,GIRQ8,3,##,,,chip,,,,,,,,,,,,,,,,,
B1,VCC1,,VCC1,,,,,,VCC1,,PIO,,,,,,GIRQ8,14,##,,,chip,,,,,,,,,,,,,,,,,
D12,VCC1,,VCC1,,,,,,VCC1,,PIO,,,,,,GIRQ9,6,##,,,chip,,,,,,,,,,,,,,,,,
K6,VCC1_RST#,,VCC1_RST#,,,,,,VCC1_RST#,,PIO,,,,,,GIRQ8,9,##,,,chip,,,,,,,,,,,,,,,,,
M8,VCIO,,VCIO,,,,,,VCIO,,PIO,,,,,,GIRQ11,17,##,,,chip,,,,,,,,,,,,,,,,,
F1,VHIF,,VHIF,,,,,,VHIF,,PWR,,,,,,,,##,,,chip,,,,,,,,,,,,,,,,,
M6,VREF_PECI,,VREF_PECI,,,,,,VREF_PECI,,PIO,,,,,,GIRQ9,25,##,,,chip,,,,,,,,,,,,,,,,,
M10,VSBY,,VSBY,,,,,,VSBY,,PIO,,,,,,GIRQ9,26,##,,,chip,,,,,,,,,,,,,,,,,
H12,VSPI,,VSPI,,,,,,VSPI,,PIO,,,,,,GIRQ11,24,##,,,chip,,,,,,,,,,,,,,,,,
A1,VSS,,VSS,,,,,,VSS,,ANA,,,,,,,,##,,,chip,,,,,,,,,,,,,,,,,
A5,VSS,,VSS,,,,,,VSS,O2ma-Low,O,,,,,,,,##,,,chip,,,,,,,,,,,,,,,,,
A8,VSS,,VSS,,,,,,VSS,,PIO,,,,,,GIRQ8,5,##,,,chip,,,,,,,,,,,,,,,,,
E12,VSS,,VSS,,,,,,VSS,,PIO,,,,,,GIRQ11,3,##,,,chip,,,,,,,,,,,,,,,,,
G1,VSS,,VSS,,,,,,VSS,,PIO,,,,,,GIRQ8,6,##,,,chip,,,,,,,,,,,,,,,,,
J12,VSS,,VSS,,,,,,VSS,,PIO,,,,,,GIRQ10,24,##,,,chip,,,,,,,,,,,,,,,,,
M3,VSS,,VSS,,,,,,VSS,,PIO,,,,,,GIRQ10,13,##,,,chip,,,,,,,,,,,,,,,,,
M9,VSS,,VSS,,,,,,VSS,,PIO,,,,,,GIRQ8,10,##,,,chip,,,,,,,,,,,,,,,,,
,,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ END ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
